trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 1.0, 'e': 0.9999818471833078}",20,0,-73.88029798544402,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 1.0, 'e': 0.9999802696611528}",20,0,-111.36629211889314,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 1.0, 'e': 0.9999785550515792}",25,0,-28.147291838423378,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 1.0, 'e': 0.9999766914421585}",25,0,-132.05885456276005,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 1.0, 'e': 0.9999746658854106}",30,20,10.9014932269543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 1.0, 'e': 0.9999724643088853}",25,0,-178.50656373763414,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
26,False,"{'a': 1.0, 'e': 0.9999700714174391}",25,0,-71.0661002455749,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
27,False,"{'a': 1.0, 'e': 0.9999674705870245}",20,13,-6.606038220247273,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 1.0, 'e': 0.9999646437492582}",20,0,-74.7885767328926,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 1.0, 'e': 0.999961571265969}",30,4,-128.40151531257726,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 2}",1
30,False,"{'a': 1.0, 'e': 0.9999582317928535}",20,0,-108.5017614643223,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 1.0, 'e': 0.9999546021312976}",20,0,-99.13786231816155,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 1.0, 'e': 0.9999506570673383}",20,0,-108.55107028058858,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 1.0, 'e': 0.999946369196649}",30,0,-15.54777206300665,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 1.0, 'e': 0.9999417087343389}",20,0,-256.74438053394204,"{0: 5, 1: 2, 2: 9, 3: 0, 4: 4}",0
35,False,"{'a': 1.0, 'e': 0.9999366433082503}",20,0,-55.93922461794172,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
36,False,"{'a': 1.0, 'e': 0.9999311377343253}",30,7,-154.10608536334433,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 3}",1
37,False,"{'a': 1.0, 'e': 0.9999251537724895}",35,13,-92.0002133586264,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
38,False,"{'a': 1.0, 'e': 0.9999186498613645}",25,0,-227.38543835065263,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
39,False,"{'a': 1.0, 'e': 0.9999115808299811}",25,16,-16.650532726257875,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 1.0, 'e': 0.9999038975845005}",25,0,-152.90286298960024,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
41,False,"{'a': 1.0, 'e': 0.9998955467677858}",25,0,-186.73424294447784,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
42,False,"{'a': 1.0, 'e': 0.9998864703894755}",30,12,-131.9110513071227,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 3}",1
43,False,"{'a': 1.0, 'e': 0.9998766054240137}",20,0,-36.4277443911985,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 1.0, 'e': 0.9998658833738697}",20,0,-77.80651925252789,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
45,False,"{'a': 1.0, 'e': 0.9998542297949431}",20,9,-32.42593309825781,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 1.0, 'e': 0.9998415637808975}",25,0,-204.8797771851572,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
47,False,"{'a': 1.0, 'e': 0.9998277974028811}",25,8,-70.47849497941294,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
48,False,"{'a': 1.0, 'e': 0.9998128351007952}",25,0,-142.83741947162252,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
49,False,"{'a': 1.0, 'e': 0.9997965730219448}",30,1,-234.30341738703652,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 5}",1
50,False,"{'a': 1.0, 'e': 0.9997788983025446}",25,0,-138.6917138869371,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
51,False,"{'a': 1.0, 'e': 0.9997596882871811}",20,1,-112.24888202059303,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
52,False,"{'a': 1.0, 'e': 0.9997388096809043}",20,0,-117.14873196344114,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 1.0, 'e': 0.999716117628182}",25,0,-180.6849356185581,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
54,False,"{'a': 1.0, 'e': 0.9996914547124585}",25,0,-146.21195336015901,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
55,False,"{'a': 1.0, 'e': 0.9996646498695336}",20,0,-84.80204065162656,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 1.0, 'e': 0.9996355172074142}",25,0,-176.35985637998525,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
57,False,"{'a': 1.0, 'e': 0.9996038547246713}",20,13,-1.559035941931919,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 1.0, 'e': 0.9995694429186754}",20,0,-119.1481671974126,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 1.0, 'e': 0.9995320432743672}",20,4,-53.49774241234852,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 0}",1
60,False,"{'a': 1.0, 'e': 0.9994913966234524}",30,0,-170.7590489900769,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
