trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 1.0, 'e': 0.052153563078417745}",30,22,15.039713487659826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 1.0, 'e': 0.04742587317756679}",20,13,10.774383515627713,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 1.0, 'e': 0.04310725494108612}",25,14,22.850412524838326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 1.0, 'e': 0.039165722796764356}",20,11,19.322516874852507,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 1.0, 'e': 0.03557118927263617}",25,7,20.39928640899886,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 1.0, 'e': 0.0322954646984505}",25,17,-27.794134262902638,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 1.0, 'e': 0.02931223075135631}",20,3,12.751811844654863,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 1.0, 'e': 0.026596993576865846}",35,15,-7.424836338543255,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 1.0, 'e': 0.024127021417669193}",35,6,43.15905518515387,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 1.0, 'e': 0.021881270936130463}",25,12,22.910754402999405,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 1.0, 'e': 0.019840305734077496}",20,16,6.632463666845535,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 1.0, 'e': 0.017986209962091545}",20,1,27.007766250664208,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 1.0, 'e': 0.016302499371440935}",25,0,-28.083340421118752,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
168,False,"{'a': 1.0, 'e': 0.014774031693273047}",25,17,4.146927029783941,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 1.0, 'e': 0.013386917827664772}",20,0,26.51163904104273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 1.0, 'e': 0.012128434984274229}",35,27,11.260389739520436,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 1.0, 'e': 0.010986942630593173}",20,15,8.997332163294127,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 1.0, 'e': 0.00995180186690431}",20,12,13.064908103599183,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 1.0, 'e': 0.009013298652847841}",20,16,7.556409615876872,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 1.0, 'e': 0.008162571153159905}",25,2,34.41664713560943,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 1.0, 'e': 0.007391541344281985}",20,0,29.19141630649814,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 1.0, 'e': 0.006692850924284863}",30,0,3.7235093778706836,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
177,False,"{'a': 1.0, 'e': 0.006059801491584123}",35,0,48.216625363961114,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 1.0, 'e': 0.0054862988994504105}",20,11,14.574836388626574,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 1.0, 'e': 0.004966801650056967}",20,0,24.87632603056848,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 1.0, 'e': 0.004496273160941183}",25,20,9.917921602738712,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 1.0, 'e': 0.004070137715896132}",20,6,26.93327984874099,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
